district name,Region,Total,Group,Value
Andover School District,North Central,298,Eligible for Free or Reduced Price Lunch,43
Andover School District,North Central,298,English Language Learner,*
Andover School District,North Central,298,Special Education,21
Ansonia School District,South Central,2316,Eligible for Free or Reduced Price Lunch,1541
Ansonia School District,South Central,2316,English Language Learner,84
Ansonia School District,South Central,2316,Special Education,297
Ashford School District,East,422,Eligible for Free or Reduced Price Lunch,125
Ashford School District,East,422,English Language Learner,6
Ashford School District,East,422,Special Education,49
Avon School District,Central,3369,Eligible for Free or Reduced Price Lunch,204
Avon School District,Central,3369,English Language Learner,46
Avon School District,Central,3369,Special Education,336
Barkhamsted School District,West,306,Eligible for Free or Reduced Price Lunch,23
Barkhamsted School District,West,306,English Language Learner,*
Barkhamsted School District,West,306,Special Education,43
Berlin School District,Central,2949,Eligible for Free or Reduced Price Lunch,419
Berlin School District,Central,2949,English Language Learner,74
Berlin School District,Central,2949,Special Education,300
Bethany School District,South Central,436,Eligible for Free or Reduced Price Lunch,21
Bethany School District,South Central,436,English Language Learner,0
Bethany School District,South Central,436,Special Education,57
Bethel School District,West,2989,Eligible for Free or Reduced Price Lunch,555
Bethel School District,West,2989,English Language Learner,73
Bethel School District,West,2989,Special Education,314
Bloomfield School District,North Central,2087,Eligible for Free or Reduced Price Lunch,1077
Bloomfield School District,North Central,2087,English Language Learner,29
Bloomfield School District,North Central,2087,Special Education,234
Bolton School District,North Central,862,Eligible for Free or Reduced Price Lunch,117
Bolton School District,North Central,862,English Language Learner,6
Bolton School District,North Central,862,Special Education,82
Bozrah School District,East,243,Eligible for Free or Reduced Price Lunch,66
Bozrah School District,East,243,English Language Learner,*
Bozrah School District,East,243,Special Education,29
Branford School District,South Central,3219,Eligible for Free or Reduced Price Lunch,757
Branford School District,South Central,3219,English Language Learner,102
Branford School District,South Central,3219,Special Education,386
Bridgeport School District,Southwest,20710,Eligible for Free or Reduced Price Lunch,20684
Bridgeport School District,Southwest,20710,English Language Learner,2685
Bridgeport School District,Southwest,20710,Special Education,2619
Bristol School District,Central,8193,Eligible for Free or Reduced Price Lunch,3687
Bristol School District,Central,8193,English Language Learner,317
Bristol School District,Central,8193,Special Education,1259
Brookfield School District,West,2762,Eligible for Free or Reduced Price Lunch,237
Brookfield School District,West,2762,English Language Learner,45
Brookfield School District,West,2762,Special Education,310
Brooklyn School District,East,919,Eligible for Free or Reduced Price Lunch,242
Brooklyn School District,East,919,English Language Learner,8
Brooklyn School District,East,919,Special Education,97
Canaan School District,West,77,Eligible for Free or Reduced Price Lunch,7
Canaan School District,West,77,English Language Learner,*
Canaan School District,West,77,Special Education,11
Canterbury School District,East,458,Eligible for Free or Reduced Price Lunch,110
Canterbury School District,East,458,English Language Learner,*
Canterbury School District,East,458,Special Education,44
Canton School District,Central,1688,Eligible for Free or Reduced Price Lunch,164
Canton School District,Central,1688,English Language Learner,12
Canton School District,Central,1688,Special Education,155
Chaplin School District,East,183,Eligible for Free or Reduced Price Lunch,68
Chaplin School District,East,183,English Language Learner,*
Chaplin School District,East,183,Special Education,23
Cheshire School District,West,4593,Eligible for Free or Reduced Price Lunch,330
Cheshire School District,West,4593,English Language Learner,30
Cheshire School District,West,4593,Special Education,458
Chester School District,East,228,Eligible for Free or Reduced Price Lunch,29
Chester School District,East,228,English Language Learner,0
Chester School District,East,228,Special Education,34
Clinton School District,East,1953,Eligible for Free or Reduced Price Lunch,417
Clinton School District,East,1953,English Language Learner,64
Clinton School District,East,1953,Special Education,197
Colchester School District,East,2727,Eligible for Free or Reduced Price Lunch,420
Colchester School District,East,2727,English Language Learner,22
Colchester School District,East,2727,Special Education,357
Colebrook School District,West,98,Eligible for Free or Reduced Price Lunch,20
Colebrook School District,West,98,English Language Learner,0
Colebrook School District,West,98,Special Education,14
Columbia School District,East,467,Eligible for Free or Reduced Price Lunch,50
Columbia School District,East,467,English Language Learner,0
Columbia School District,East,467,Special Education,46
Cornwall School District,West,105,Eligible for Free or Reduced Price Lunch,22
Cornwall School District,West,105,English Language Learner,*
Cornwall School District,West,105,Special Education,17
Coventry School District,East,1684,Eligible for Free or Reduced Price Lunch,302
Coventry School District,East,1684,English Language Learner,*
Coventry School District,East,1684,Special Education,211
Cromwell School District,East,1946,Eligible for Free or Reduced Price Lunch,316
Cromwell School District,East,1946,English Language Learner,47
Cromwell School District,East,1946,Special Education,188
Danbury School District,West,10762,Eligible for Free or Reduced Price Lunch,4975
Danbury School District,West,10762,English Language Learner,2204
Danbury School District,West,10762,Special Education,1232
Darien School District,Southwest,4889,Eligible for Free or Reduced Price Lunch,38
Darien School District,Southwest,4889,English Language Learner,15
Darien School District,Southwest,4889,Special Education,517
Deep River School District,East,330,Eligible for Free or Reduced Price Lunch,49
Deep River School District,East,330,English Language Learner,14
Deep River School District,East,330,Special Education,40
Derby School District,South Central,1499,Eligible for Free or Reduced Price Lunch,804
Derby School District,South Central,1499,English Language Learner,90
Derby School District,South Central,1499,Special Education,192
Eastford School District,East,150,Eligible for Free or Reduced Price Lunch,24
Eastford School District,East,150,English Language Learner,0
Eastford School District,East,150,Special Education,21
East Granby School District,North Central,868,Eligible for Free or Reduced Price Lunch,49
East Granby School District,North Central,868,English Language Learner,16
East Granby School District,North Central,868,Special Education,89
East Haddam School District,East,1183,Eligible for Free or Reduced Price Lunch,157
East Haddam School District,East,1183,English Language Learner,*
East Haddam School District,East,1183,Special Education,170
East Hampton School District,East,1869,Eligible for Free or Reduced Price Lunch,200
East Hampton School District,East,1869,English Language Learner,7
East Hampton School District,East,1869,Special Education,154
East Hartford School District,North Central,7129,Eligible for Free or Reduced Price Lunch,4546
East Hartford School District,North Central,7129,English Language Learner,606
East Hartford School District,North Central,7129,Special Education,1131
East Haven School District,South Central,3055,Eligible for Free or Reduced Price Lunch,1527
East Haven School District,South Central,3055,English Language Learner,197
East Haven School District,South Central,3055,Special Education,394
East Lyme School District,East,2863,Eligible for Free or Reduced Price Lunch,339
East Lyme School District,East,2863,English Language Learner,25
East Lyme School District,East,2863,Special Education,371
Easton School District,Southwest,960,Eligible for Free or Reduced Price Lunch,28
Easton School District,Southwest,960,English Language Learner,*
Easton School District,Southwest,960,Special Education,87
East Windsor School District,North Central,1198,Eligible for Free or Reduced Price Lunch,486
East Windsor School District,North Central,1198,English Language Learner,33
East Windsor School District,North Central,1198,Special Education,182
Ellington School District,North Central,2657,Eligible for Free or Reduced Price Lunch,275
Ellington School District,North Central,2657,English Language Learner,40
Ellington School District,North Central,2657,Special Education,298
Enfield School District,North Central,5192,Eligible for Free or Reduced Price Lunch,1876
Enfield School District,North Central,5192,English Language Learner,102
Enfield School District,North Central,5192,Special Education,707
Essex School District,East,508,Eligible for Free or Reduced Price Lunch,59
Essex School District,East,508,English Language Learner,*
Essex School District,East,508,Special Education,78
Fairfield School District,Southwest,10248,Eligible for Free or Reduced Price Lunch,918
Fairfield School District,Southwest,10248,English Language Learner,216
Fairfield School District,Southwest,10248,Special Education,1094
Farmington School District,Central,4001,Eligible for Free or Reduced Price Lunch,351
Farmington School District,Central,4001,English Language Learner,71
Farmington School District,Central,4001,Special Education,419
Franklin School District,East,181,Eligible for Free or Reduced Price Lunch,34
Franklin School District,East,181,English Language Learner,0
Franklin School District,East,181,Special Education,24
Glastonbury School District,North Central,6389,Eligible for Free or Reduced Price Lunch,567
Glastonbury School District,North Central,6389,English Language Learner,76
Glastonbury School District,North Central,6389,Special Education,594
Granby School District,North Central,2039,Eligible for Free or Reduced Price Lunch,178
Granby School District,North Central,2039,English Language Learner,11
Granby School District,North Central,2039,Special Education,176
Greenwich School District,Southwest,8760,Eligible for Free or Reduced Price Lunch,1299
Greenwich School District,Southwest,8760,English Language Learner,486
Greenwich School District,Southwest,8760,Special Education,860
Griswold School District,East,1965,Eligible for Free or Reduced Price Lunch,748
Griswold School District,East,1965,English Language Learner,12
Griswold School District,East,1965,Special Education,268
Groton School District,East,4657,Eligible for Free or Reduced Price Lunch,2145
Groton School District,East,4657,English Language Learner,99
Groton School District,East,4657,Special Education,692
Guilford School District,East,3510,Eligible for Free or Reduced Price Lunch,314
Guilford School District,East,3510,English Language Learner,33
Guilford School District,East,3510,Special Education,346
Hamden School District,South Central,5745,Eligible for Free or Reduced Price Lunch,2335
Hamden School District,South Central,5745,English Language Learner,236
Hamden School District,South Central,5745,Special Education,722
Hampton School District,East,112,Eligible for Free or Reduced Price Lunch,33
Hampton School District,East,112,English Language Learner,0
Hampton School District,East,112,Special Education,18
Hartford School District,North Central,21250,Eligible for Free or Reduced Price Lunch,17996
Hartford School District,North Central,21250,English Language Learner,3549
Hartford School District,North Central,21250,Special Education,2847
Hartland School District,West,204,Eligible for Free or Reduced Price Lunch,11
Hartland School District,West,204,English Language Learner,0
Hartland School District,West,204,Special Education,26
Hebron School District,North Central,867,Eligible for Free or Reduced Price Lunch,57
Hebron School District,North Central,867,English Language Learner,*
Hebron School District,North Central,867,Special Education,108
Kent School District,West,272,Eligible for Free or Reduced Price Lunch,38
Kent School District,West,272,English Language Learner,*
Kent School District,West,272,Special Education,29
Killingly School District,East,2641,Eligible for Free or Reduced Price Lunch,1094
Killingly School District,East,2641,English Language Learner,68
Killingly School District,East,2641,Special Education,373
Lebanon School District,East,1146,Eligible for Free or Reduced Price Lunch,187
Lebanon School District,East,1146,English Language Learner,*
Lebanon School District,East,1146,Special Education,157
Ledyard School District,East,2550,Eligible for Free or Reduced Price Lunch,518
Ledyard School District,East,2550,English Language Learner,24
Ledyard School District,East,2550,Special Education,347
Lisbon School District,East,396,Eligible for Free or Reduced Price Lunch,81
Lisbon School District,East,396,English Language Learner,*
Lisbon School District,East,396,Special Education,53
Litchfield School District,West,984,Eligible for Free or Reduced Price Lunch,137
Litchfield School District,West,984,English Language Learner,*
Litchfield School District,West,984,Special Education,99
Madison School District,East,3278,Eligible for Free or Reduced Price Lunch,180
Madison School District,East,3278,English Language Learner,17
Madison School District,East,3278,Special Education,356
Manchester School District,North Central,6210,Eligible for Free or Reduced Price Lunch,3412
Manchester School District,North Central,6210,English Language Learner,353
Manchester School District,North Central,6210,Special Education,794
Mansfield School District,East,1245,Eligible for Free or Reduced Price Lunch,306
Mansfield School District,East,1245,English Language Learner,52
Mansfield School District,East,1245,Special Education,140
Marlborough School District,North Central,605,Eligible for Free or Reduced Price Lunch,54
Marlborough School District,North Central,605,English Language Learner,*
Marlborough School District,North Central,605,Special Education,58
Meriden School District,Central,8099,Eligible for Free or Reduced Price Lunch,5651
Meriden School District,Central,8099,English Language Learner,1011
Meriden School District,Central,8099,Special Education,1258
Middletown School District,East,4782,Eligible for Free or Reduced Price Lunch,2195
Middletown School District,East,4782,English Language Learner,152
Middletown School District,East,4782,Special Education,561
Milford School District,South Central,6401,Eligible for Free or Reduced Price Lunch,1326
Milford School District,South Central,6401,English Language Learner,123
Milford School District,South Central,6401,Special Education,772
Monroe School District,Southwest,3367,Eligible for Free or Reduced Price Lunch,257
Monroe School District,Southwest,3367,English Language Learner,15
Monroe School District,Southwest,3367,Special Education,359
Montville School District,East,2403,Eligible for Free or Reduced Price Lunch,732
Montville School District,East,2403,English Language Learner,87
Montville School District,East,2403,Special Education,277
Naugatuck School District,West,4344,Eligible for Free or Reduced Price Lunch,1775
Naugatuck School District,West,4344,English Language Learner,168
Naugatuck School District,West,4344,Special Education,601
New Britain School District,Central,10038,Eligible for Free or Reduced Price Lunch,8030
New Britain School District,Central,10038,English Language Learner,1659
New Britain School District,Central,10038,Special Education,1550
New Canaan School District,Southwest,4172,Eligible for Free or Reduced Price Lunch,0
New Canaan School District,Southwest,4172,English Language Learner,26
New Canaan School District,Southwest,4172,Special Education,359
New Fairfield School District,West,2726,Eligible for Free or Reduced Price Lunch,281
New Fairfield School District,West,2726,English Language Learner,38
New Fairfield School District,West,2726,Special Education,277
New Hartford School District,West,544,Eligible for Free or Reduced Price Lunch,50
New Hartford School District,West,544,English Language Learner,*
New Hartford School District,West,544,Special Education,59
New Haven School District,South Central,21304,Eligible for Free or Reduced Price Lunch,14036
New Haven School District,South Central,21304,English Language Learner,2709
New Haven School District,South Central,21304,Special Education,2409
Newington School District,Central,4202,Eligible for Free or Reduced Price Lunch,925
Newington School District,Central,4202,English Language Learner,156
Newington School District,Central,4202,Special Education,513
New London School District,East,3068,Eligible for Free or Reduced Price Lunch,2166
New London School District,East,3068,English Language Learner,588
New London School District,East,3068,Special Education,525
New Milford School District,West,4484,Eligible for Free or Reduced Price Lunch,892
New Milford School District,West,4484,English Language Learner,118
New Milford School District,West,4484,Special Education,579
Newtown School District,West,4878,Eligible for Free or Reduced Price Lunch,281
Newtown School District,West,4878,English Language Learner,16
Newtown School District,West,4878,Special Education,398
Norfolk School District,West,116,Eligible for Free or Reduced Price Lunch,18
Norfolk School District,West,116,English Language Learner,0
Norfolk School District,West,116,Special Education,21
North Branford School District,South Central,2007,Eligible for Free or Reduced Price Lunch,321
North Branford School District,South Central,2007,English Language Learner,13
North Branford School District,South Central,2007,Special Education,280
North Canaan School District,West,295,Eligible for Free or Reduced Price Lunch,64
North Canaan School District,West,295,English Language Learner,*
North Canaan School District,West,295,Special Education,44
North Haven School District,South Central,3362,Eligible for Free or Reduced Price Lunch,424
North Haven School District,South Central,3362,English Language Learner,55
North Haven School District,South Central,3362,Special Education,323
North Stonington School District,East,750,Eligible for Free or Reduced Price Lunch,148
North Stonington School District,East,750,English Language Learner,0
North Stonington School District,East,750,Special Education,74
Norwalk School District,Southwest,11091,Eligible for Free or Reduced Price Lunch,5453
Norwalk School District,Southwest,11091,English Language Learner,1277
Norwalk School District,Southwest,11091,Special Education,1196
Norwich School District,East,3740,Eligible for Free or Reduced Price Lunch,2744
Norwich School District,East,3740,English Language Learner,465
Norwich School District,East,3740,Special Education,549
Old Saybrook School District,East,1434,Eligible for Free or Reduced Price Lunch,260
Old Saybrook School District,East,1434,English Language Learner,12
Old Saybrook School District,East,1434,Special Education,211
Orange School District,South Central,1189,Eligible for Free or Reduced Price Lunch,81
Orange School District,South Central,1189,English Language Learner,35
Orange School District,South Central,1189,Special Education,110
Oxford School District,West,2044,Eligible for Free or Reduced Price Lunch,151
Oxford School District,West,2044,English Language Learner,33
Oxford School District,West,2044,Special Education,212
Plainfield School District,East,2451,Eligible for Free or Reduced Price Lunch,1109
Plainfield School District,East,2451,English Language Learner,24
Plainfield School District,East,2451,Special Education,291
Plainville School District,Central,2312,Eligible for Free or Reduced Price Lunch,655
Plainville School District,Central,2312,English Language Learner,108
Plainville School District,Central,2312,Special Education,322
Plymouth School District,Central,1564,Eligible for Free or Reduced Price Lunch,363
Plymouth School District,Central,1564,English Language Learner,7
Plymouth School District,Central,1564,Special Education,226
Pomfret School District,East,424,Eligible for Free or Reduced Price Lunch,64
